model,metric,n,lgbm,model_value,diff,ci_lo,ci_hi
gtformer_plain,tpr@1%FPR,27701,0.9985199090285549,0.9884480704667702,-0.01007183856178473,-0.011335330854481688,-0.008844446048879125
gtformer_plain,novel_tpr@1%FPR,1215,0.9876543209876543,0.9662551440329218,-0.02139917695473248,-0.032098765432098664,-0.012345679012345623
gtformer_tuned,tpr@1%FPR,27701,0.9985199090285549,0.9967510198187791,-0.0017688892097758036,-0.0023464856864372496,-0.0011912927331143575
gtformer_tuned,novel_tpr@1%FPR,1215,0.9876543209876543,0.9753086419753086,-0.012345679012345623,-0.01975308641975304,-0.0057613168724279795
gtformer_tuned_s1,tpr@1%FPR,27701,0.9985199090285549,0.9937547380960976,-0.004765170932457319,-0.005739864986823551,-0.00382657665788233
gtformer_tuned_s1,novel_tpr@1%FPR,1215,0.9876543209876543,0.974485596707819,-0.013168724279835287,-0.02139917695473259,-0.004938271604938316
gtformer_tuned_s2,tpr@1%FPR,27701,0.9985199090285549,0.9953070286271254,-0.00321288040142953,-0.003935778491751285,-0.0024908848056026667
gtformer_tuned_s2,novel_tpr@1%FPR,1215,0.9876543209876543,0.9786008230452675,-0.009053497942386746,-0.016460905349794275,-0.003292181069958766
gtformer_tuned_s3,tpr@1%FPR,27701,0.9985199090285549,0.9967871195985705,-0.0017327894299844493,-0.0024195877405148503,-0.0009376917800800974
gtformer_tuned_s3,novel_tpr@1%FPR,1215,0.9876543209876543,0.9909465020576131,0.003292181069958877,-0.004115226337448541,0.010699588477366295
gtformer_tuned_s4,tpr@1%FPR,27701,0.9985199090285549,0.9941518356738024,-0.004368073354752533,-0.005163171004656885,-0.003537778419551607
gtformer_tuned_s4,novel_tpr@1%FPR,1215,0.9876543209876543,0.9711934156378601,-0.016460905349794164,-0.024691358024691357,-0.009053497942386857
mlp_plain,tpr@1%FPR,27701,0.9985199090285549,0.9863903830186636,-0.012129526009891367,-0.013429118082379787,-0.01068553481823764
mlp_plain,novel_tpr@1%FPR,1215,0.9876543209876543,0.9621399176954732,-0.02551440329218102,-0.036213991769547316,-0.016460905349794164
proto_plain,tpr@1%FPR,27701,0.9985199090285549,0.9938630374354717,-0.004656871593083256,-0.005560268582361671,-0.00382657665788233
proto_plain,novel_tpr@1%FPR,1215,0.9876543209876543,0.9637860082304527,-0.023868312757201582,-0.03374485596707821,-0.014814814814814725
ens_gt_lgbm,tpr@1%FPR,27701,0.9985199090285549,0.997689614093354,-0.0008302949352009259,-0.001407891411862372,-0.0002887982383308313
ens_gt_lgbm,novel_tpr@1%FPR,1215,0.9876543209876543,0.9851851851851852,-0.0024691358024691024,-0.008230452674897082,0.0033127572016461
ens_gttuned_lgbm,tpr@1%FPR,27701,0.9985199090285549,0.9984838092487636,-3.609977979135426e-05,-0.0004692971372873833,0.00036099779791343156
ens_gttuned_lgbm,novel_tpr@1%FPR,1215,0.9876543209876543,0.9851851851851852,-0.0024691358024691024,-0.007407407407407418,0.0024897119341564336
ens_mlp_lgbm,tpr@1%FPR,27701,0.9985199090285549,0.9980867116710588,-0.0004331973574961401,-0.0010107938341575862,0.00014439911916541703
ens_mlp_lgbm,novel_tpr@1%FPR,1215,0.9876543209876543,0.9917695473251029,0.004115226337448652,-0.003292181069958877,0.012366255144032957
