model,region,n,n_mal,roc_auc,pr_auc,tpr@0.01,tpr@0.001,known_tpr@0.01,novel_tpr@0.01,novel_tpr@0.001,n_novel,trojan_tpr@0.01,worm_tpr@0.01,backdoor_tpr@0.01,downloader_tpr@0.01,ransomware_tpr@0.01,dropper_tpr@0.01,fpr_at_val_thr
gtformer_plain,test,60309,27701,0.9992879587457457,0.9992624079845492,0.9884480704667702,0.976968340493123,0.9894661330514234,0.9662551440329218,0.9440329218106996,1215.0,0.9753433724971041,0.9998989490703315,0.9984420209214333,0.9976019184652278,0.9674267100977199,1.0,
gtformer_plain,2020-04,9841,4640,0.9999475813669786,,0.9915948275862069,,,0.9302325581395349,,,,,,,,,0.0003845414343395501
gtformer_plain,2020-05,11570,5449,0.9994586297517708,,0.9849513672233438,,,0.8823529411764706,,,,,,,,,0.00016337199803953602
gtformer_plain,2020-06,12399,4217,0.9995720868153236,,0.9881432297842068,,,0.873015873015873,,,,,,,,,0.00036665851869958444
gtformer_plain,2020-07,11387,4995,0.9989635755906093,,0.8376376376376377,,,0.09243697478991597,,,,,,,,,0.00031289111389236547
gtformer_plain,2020-08,6337,3823,0.9988967354356278,,0.940099398378237,,,0.5315315315315315,,,,,,,,,0.0003977724741447892
gtformer_plain,2020-09,8775,4577,0.9991615075605881,,0.9460345204282281,,,0.8076923076923077,,,,,,,,,0.0004764173415912339
gtformer_tuned,test,60309,27701,0.9997636697714721,0.9997488695476952,0.9967510198187791,0.9874733764124038,0.9977346522691233,0.9753086419753086,0.9572016460905349,1215.0,0.9942081747476419,0.9998989490703315,0.9993322946806142,0.9976019184652278,0.9609120521172638,0.9951456310679612,
gtformer_tuned,2020-04,9841,4640,0.9999743500918259,,0.9976293103448276,,,0.9534883720930233,,,,,,,,,0.0026917900403768506
gtformer_tuned,2020-05,11570,5449,0.999760353756592,,0.9933932831712241,,,0.9117647058823529,,,,,,,,,0.0017970919784348963
gtformer_tuned,2020-06,12399,4217,0.9998969524651621,,0.9938344794877876,,,0.9682539682539683,,,,,,,,,0.0034221461745294547
gtformer_tuned,2020-07,11387,4995,0.9995273903440363,,0.9893893893893894,,,0.9803921568627451,,,,,,,,,0.002346683354192741
gtformer_tuned,2020-08,6337,3823,0.9997935183167825,,0.9924143342924405,,,0.972972972972973,,,,,,,,,0.0011933174224343676
gtformer_tuned,2020-09,8775,4577,0.9998003304423186,,0.9910421673585318,,,0.9120879120879121,,,,,,,,,0.0026202953787517864
gtformer_tuned_s1,test,60309,27701,0.9990057421190088,0.9991179655158092,0.9937547380960976,0.9858488863217935,0.9946386770369252,0.974485596707819,0.9440329218106996,1215.0,0.9874234651663081,0.9997978981406629,0.9988871578010238,0.9976019184652278,0.9641693811074918,1.0,
gtformer_tuned_s1,2020-04,9841,4640,0.99976086329552,,0.9989224137931034,,,0.9767441860465116,,,,,,,,,0.014228033070563353
gtformer_tuned_s1,2020-05,11570,5449,0.9990567508268816,,0.9957790420260598,,,0.9411764705882353,,,,,,,,,0.012416271851004738
gtformer_tuned_s1,2020-06,12399,4217,0.9985487121970894,,0.9933602086791558,,,0.9841269841269841,,,,,,,,,0.015399657785382548
gtformer_tuned_s1,2020-07,11387,4995,0.9981710590440253,,0.9883883883883884,,,0.9817927170868347,,,,,,,,,0.010638297872340425
gtformer_tuned_s1,2020-08,6337,3823,0.9991648130656657,,0.9934606330107245,,,0.954954954954955,,,,,,,,,0.005171042163882259
gtformer_tuned_s1,2020-09,8775,4577,0.9995991776101961,,0.9932270045881582,,,0.9725274725274725,,,,,,,,,0.00786088613625536
