format,group,filetype,general,histogram,byteentropy,strings,header,section,imports,exports,datadirectories,richheader,authenticode,pefilewarnings
Win32,benign,0.0861755833029747,0.06210039556026459,0.05580051243305206,0.0706426277756691,0.07031849771738052,0.06131836399435997,0.06087607145309448,0.09435310959815979,0.08577229827642441,0.06355524808168411,0.08326253294944763,0.0809478908777237,0.06976048648357391
Win32,malware,0.048288509249687195,0.08057437837123871,0.07706310600042343,0.07385789602994919,0.06713418662548065,0.06947412341833115,0.10068748146295547,0.10505969077348709,0.05679354444146156,0.07209809124469757,0.0713040679693222,0.05656241625547409,0.06931011378765106
Win32,challenge,0.035824891179800034,0.03889402747154236,0.0590125247836113,0.12120862305164337,0.04791741073131561,0.04873087257146835,0.0575515478849411,0.2149745523929596,0.05869968235492706,0.09837415814399719,0.054871492087841034,0.0780312642455101,0.04253851994872093
Win64,benign,0.0943177118897438,0.06078692525625229,0.060950420796871185,0.07755917310714722,0.06566689163446426,0.06603483855724335,0.06067761406302452,0.08193635940551758,0.09386087208986282,0.04956443980336189,0.08785025775432587,0.07787728309631348,0.06712904572486877
Win64,malware,0.06329593062400818,0.06831806153059006,0.07228763401508331,0.07241589576005936,0.06556428968906403,0.0677977204322815,0.11678898334503174,0.110092893242836,0.0513179711997509,0.06403659284114838,0.0803636908531189,0.04977329075336456,0.06820587813854218
Win64,challenge,0.06407913565635681,0.05046027898788452,0.06243551895022392,0.07502128928899765,0.0681668147444725,0.06411601603031158,0.07991155982017517,0.11642154306173325,0.12065602093935013,0.05806268751621246,0.07990773022174835,0.05782042443752289,0.05605919659137726
Dot_Net,benign,0.08701933920383453,0.07387997955083847,0.07184964418411255,0.07240034639835358,0.06429699808359146,0.052163515239953995,0.07022540271282196,0.0776791051030159,0.07295341044664383,0.06672751158475876,0.07280927151441574,0.08258622884750366,0.06767566502094269
Dot_Net,malware,0.0695200264453888,0.08505557477474213,0.08183908462524414,0.07528243213891983,0.07710777223110199,0.07392759621143341,0.07110458612442017,0.0782974511384964,0.05923718586564064,0.07850528508424759,0.060575708746910095,0.06333953142166138,0.06228417903184891
Dot_Net,challenge,0.0790763720870018,0.0846794918179512,0.10515876859426498,0.0700831264257431,0.07040970772504807,0.05459835007786751,0.06143416464328766,0.07184547185897827,0.07147881388664246,0.053788281977176666,0.06650786101818085,0.0688660740852356,0.071270652115345
APK,benign,0.0702943280339241,0.0704597607254982,0.07028450071811676,0.07550853490829468,0.07390295714139938,0.0670991837978363,0.07392530888319016,0.057767778635025024,0.0709550529718399,0.07461987435817719,0.06919708847999573,0.08535578101873398,0.06990918517112732
APK,malware,0.04351145029067993,0.04176473617553711,0.0848514586687088,0.07036864012479782,0.08134400099515915,0.0802832692861557,0.06524786353111267,0.041290659457445145,0.07759229838848114,0.07505922019481659,0.07625047862529755,0.09044992178678513,0.08942972123622894
APK,challenge,0.052800845354795456,0.04023786634206772,0.08224550634622574,0.06978274881839752,0.07439403980970383,0.07895652204751968,0.07360266149044037,0.04077786207199097,0.0777861624956131,0.08092417567968369,0.07898208498954773,0.1000775471329689,0.07724110037088394
ELF,benign,0.08897434920072556,0.0813685804605484,0.05767229199409485,0.06928671896457672,0.06704041361808777,0.06722967326641083,0.0732036605477333,0.09257648140192032,0.06588096171617508,0.06905896961688995,0.06452631950378418,0.07222752273082733,0.06399743258953094
ELF,malware,0.24957714974880219,0.09722094982862473,0.08415224403142929,0.05477443337440491,0.05493732541799545,0.05717095732688904,0.04509803280234337,0.041793495416641235,0.05334271863102913,0.0478987991809845,0.047696858644485474,0.04706219956278801,0.05650024861097336
ELF,challenge,0.15158650279045105,0.07551617175340652,0.08987972140312195,0.06854040920734406,0.10231124609708786,0.057118359953165054,0.05333390459418297,0.044660601764917374,0.06718441843986511,0.056470878422260284,0.050516191869974136,0.05539179965853691,0.05992039293050766
PDF,benign,0.061418842524290085,0.07555171847343445,0.06069358438253403,0.07357899844646454,0.06890463083982468,0.08099844306707382,0.07696996629238129,0.051753200590610504,0.07242120057344437,0.08337652683258057,0.0752558633685112,0.09014410525560379,0.06562744081020355
PDF,malware,0.060026828199625015,0.11405692994594574,0.06300865113735199,0.06182689219713211,0.07523486763238907,0.08747557550668716,0.07214085757732391,0.07126624882221222,0.059376511722803116,0.07392922788858414,0.07001826167106628,0.05846594646573067,0.05861781910061836
PDF,challenge,0.057474955916404724,0.11782925575971603,0.059530023485422134,0.06657996028661728,0.07789837568998337,0.08474229276180267,0.07119530439376831,0.04576100409030914,0.06102951616048813,0.08244253695011139,0.07674718648195267,0.07017946243286133,0.06557166576385498
