format,split,n,n_mal,n_ben,weeks,n_families,frac_mal_no_family,det_ratio_median,det_ratio_q25,det_ratio_q75,test_mal_novel_family_frac,test_mal_known_family_frac
Win32,train,1560000,780000,780000,0-51,4437,0.12095,0.7763157894736842,0.44155844155844154,0.84,,
Win32,test,359994,180000,179994,52-63,3022,0.11160555555555556,0.7671232876712328,0.410958904109589,0.8356164383561644,0.005372222222222222,0.8830222222222223
Win64,train,520000,260000,260000,0-51,1997,0.20492307692307693,0.5064935064935064,0.2602739726027397,0.6883116883116883,,
Win64,test,119993,60000,59993,52-63,1082,0.21215,0.3561643835616438,0.2602739726027397,0.47297297297297297,0.020416666666666666,0.7674333333333333
Dot_Net,train,260000,130000,130000,0-51,1714,0.21514615384615385,0.5657894736842105,0.3287671232876712,0.6891891891891891,,
Dot_Net,test,59953,30000,29953,52-63,937,0.1605,0.5616438356164384,0.3698630136986301,0.684931506849315,0.007266666666666667,0.8322333333333334
APK,train,208000,104000,104000,0-51,822,0.2006923076923077,0.2077922077922078,0.11688311688311688,0.32432432432432434,,
APK,test,48000,24000,24000,52-63,524,0.25133333333333335,0.2328767123287671,0.1232876712328767,0.32432432432432434,0.0037916666666666667,0.744875
ELF,train,26000,13000,13000,0-51,264,0.06453846153846154,0.5,0.42857142857142855,0.547945205479452,,
ELF,test,5989,3000,2989,52-63,93,0.04566666666666667,0.4935064935064935,0.4383561643835616,0.5454545454545454,0.009333333333333334,0.945
PDF,train,52000,26000,26000,0-51,84,0.7803461538461538,0.37662337662337664,0.3026315789473684,0.4155844155844156,,
PDF,test,12000,6000,6000,52-63,33,0.7748333333333334,0.2602739726027397,0.1506849315068493,0.3424657534246575,0.007333333333333333,0.21783333333333332
