file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
APK,base,48000,0.9842493420138889,0.9853701253583631,0.8054583333333334,0.5317916666666667,0.32421875,0.3046875,0.7884166666666667,0.008458333333333333,0.12109375,0.1015625,0.47841666666666666,0.000625,17877,91,6032,0.8110421211612686,0.6373626373626373,0.7904509283819628,0.30412371134020616,0.0,0.43636363636363634,0.7327355670913953,0.8313212038768917,0.823,0.8095,0.8035,0.816,0.804,0.792,0.836,0.8105,0.758,0.783,0.8305,0.7965,499.0,323.922315120697,6.655101974805196
APK,cw,48000,0.9836849045138888,0.9847104977808397,0.7935833333333333,0.4847916666666667,0.3046875,0.2890625,0.7730833333333333,0.008625,0.078125,0.07421875,0.45479166666666665,0.0007083333333333334,17877,91,6032,0.7926385858924876,0.5824175824175825,0.7987400530503979,0.27835051546391754,0.0,0.43636363636363634,0.7388705364165487,0.8130136598084226,0.819,0.786,0.7895,0.7985,0.786,0.791,0.799,0.7995,0.762,0.784,0.8165,0.7895,500.0,211.7114486694336,7.322276631991068
APK,cwfb,48000,0.9837441527777777,0.9848262170803983,0.7927916666666667,0.5198333333333334,0.3359375,0.33203125,0.78025,0.009125,0.12109375,0.109375,0.4959166666666667,0.0009583333333333333,17877,91,6032,0.7905129496000447,0.6703296703296703,0.7989058355437666,0.31958762886597936,0.0,0.43636363636363634,0.7316344187509831,0.8139772147593947,0.8225,0.8135,0.7815,0.815,0.7985,0.7795,0.766,0.806,0.758,0.7725,0.807,0.786,500.0,188.61227703094482,6.908337275187174
APK,cwinv,48000,0.9845796006944445,0.985823243186968,0.8117083333333334,0.5430833333333334,0.32421875,0.3125,0.7951666666666667,0.008333333333333333,0.109375,0.05859375,0.46020833333333333,0.00025,17877,91,6032,0.8185937237791576,0.6483516483516484,0.792606100795756,0.31443298969072164,0.0,0.4,0.7330501809029416,0.83965312021765,0.8275,0.8275,0.802,0.823,0.8105,0.7985,0.846,0.82,0.7595,0.792,0.835,0.7955,500.0,194.71012139320374,6.5753161907196045
APK,ens2_gt_lgbm,48000,0.9841156605902778,0.9856099396262996,0.8112916666666666,0.5859166666666666,0.34765625,0.3359375,0.7934583333333334,0.008291666666666666,0.12890625,0.12890625,0.5864166666666667,0.0010833333333333333,17877,91,6032,0.820383733288583,0.6813186813186813,0.7858090185676393,0.31958762886597936,0.2857142857142857,0.45454545454545453,0.7319490325625295,0.8397097999206484,0.828,0.822,0.792,0.816,0.805,0.7995,0.849,0.821,0.769,0.8,0.83,0.8025,0.0,885.0328190326691,14.54556981722514
APK,ens3_deep,48000,0.9806906024305556,0.9824048340222031,0.7747916666666667,0.5419583333333333,0.359375,0.33984375,0.76175,0.008791666666666666,0.1640625,0.13671875,0.5180416666666666,0.0007916666666666666,17877,91,6032,0.7825697824019691,0.6373626373626373,0.7521551724137931,0.32989690721649484,0.2857142857142857,0.4727272727272727,0.7059933931099576,0.7990137731678286,0.795,0.782,0.764,0.7175,0.772,0.7645,0.826,0.789,0.727,0.779,0.808,0.7685,0.0,1551.3053588867188,29.75184222062429
APK,ens3_full_deep,48000,0.9757271163194445,0.9764707575499763,0.7169583333333334,0.3275,0.265625,0.25,0.6939583333333333,0.008541666666666666,0.10546875,0.09765625,0.291375,0.0009166666666666666,17877,91,6032,0.7234435307937573,0.6043956043956044,0.6977785145888594,0.2268041237113402,0.2857142857142857,0.4,0.6498348277489382,0.7405769993765232,0.7565,0.715,0.7025,0.689,0.713,0.709,0.746,0.731,0.676,0.7165,0.7355,0.7085,0.0,2216.2470378875732,28.519084056218464
APK,ens4_deep_lgbm,48000,0.9840967578125002,0.9854831713250886,0.8055,0.5900416666666667,0.375,0.36328125,0.7946666666666666,0.008708333333333334,0.1796875,0.16015625,0.572125,0.000875,17877,91,6032,0.8132796330480506,0.6593406593406593,0.78315649867374,0.35051546391752575,0.2857142857142857,0.4727272727272727,0.7332074878087148,0.8310378053618999,0.8215,0.813,0.7885,0.796,0.8005,0.7895,0.8495,0.8165,0.7575,0.8005,0.8295,0.799,0.0,1875.2276740074158,36.40694419542948
APK,ens_gttuned_lgbm,48000,0.9854845980902778,0.9867806692366825,0.8239166666666666,0.6114166666666667,0.36328125,0.33984375,0.8077083333333334,0.008083333333333333,0.18359375,0.16796875,0.5713333333333334,0.00075,17877,91,6032,0.8330816132460703,0.6373626373626373,0.7995689655172413,0.3402061855670103,0.14285714285714285,0.4727272727272727,0.7508258612553091,0.8502522246783427,0.838,0.8285,0.8115,0.8195,0.822,0.812,0.8705,0.8315,0.7775,0.811,0.85,0.815,0.0,1646.771996974945,27.278835574785866
APK,ens_mlp_lgbm,48000,0.9846113350694445,0.9858888205822333,0.8099166666666666,0.5695833333333333,0.3515625,0.3515625,0.79775,0.008875,0.14453125,0.125,0.5237083333333333,0.0004166666666666667,17877,91,6032,0.8159646473121889,0.7252747252747253,0.7927718832891246,0.31958762886597936,0.2857142857142857,0.4727272727272727,0.7377693880761366,0.8357422207107634,0.821,0.822,0.793,0.806,0.81,0.7955,0.8555,0.8195,0.7585,0.798,0.8355,0.803,0.0,784.8159053325653,15.731895963350933
APK,fb,48000,0.9841945625,0.985367726773004,0.808125,0.5417083333333333,0.328125,0.30078125,0.7700833333333333,0.006958333333333334,0.1171875,0.1640625,0.5834583333333333,0.0015833333333333333,17877,91,6032,0.8089724226659954,0.6593406593406593,0.8071949602122016,0.30927835051546393,0.0,0.43636363636363634,0.7336794085260343,0.834721986056793,0.8315,0.841,0.793,0.826,0.817,0.793,0.7975,0.814,0.764,0.8005,0.822,0.796,500.0,201.59215259552002,8.121872941652933
APK,gtformer_full,48000,0.9678320616319445,0.9685496789998531,0.6187083333333333,0.255375,0.2109375,0.21875,0.6299166666666667,0.010333333333333333,0.1171875,0.12890625,0.27025,0.0010833333333333333,17877,91,6032,0.6151479554735134,0.45054945054945056,0.6150530503978779,0.18041237113402062,0.2857142857142857,0.3090909090909091,0.5516753185464842,0.637136541404523,0.6735,0.5705,0.607,0.583,0.6,0.612,0.6415,0.648,0.5715,0.598,0.652,0.617,0.0,1014.6814393997192,17.017588019371033
APK,gtformer_full_knn,48000,0.9681843324652779,0.9689978062392731,0.6337916666666666,0.2926666666666667,0.21875,0.23046875,0.6431666666666667,0.010458333333333333,0.12890625,0.12109375,0.25795833333333335,0.0007916666666666666,17877,91,6032,0.6362924428036024,0.46153846153846156,0.6274867374005305,0.19072164948453607,0.2857142857142857,0.3090909090909091,0.5670913953122542,0.6573145156719379,0.6895,0.591,0.625,0.5975,0.6245,0.627,0.659,0.672,0.589,0.6195,0.6735,0.6335,0.0,10.139894008636475,0.0
APK,gtformer_no_aux,48000,0.9694032508680556,0.9666453481537431,0.6085416666666666,0.07416666666666667,0.21875,0.203125,0.5912083333333333,0.00925,0.05859375,0.05078125,0.029791666666666668,0.0004583333333333333,17877,91,6032,0.6115679364546625,0.4835164835164835,0.6014588859416445,0.20618556701030927,0.0,0.2909090909090909,0.5512033978291647,0.6292013829847531,0.6725,0.5865,0.6165,0.54,0.6055,0.5835,0.6325,0.6325,0.5745,0.6045,0.645,0.609,0.0,574.1571848392487,7.865071296691895
APK,gtformer_no_cam,48000,0.9718943819444446,0.9724945421520916,0.68,0.2549166666666667,0.23828125,0.2265625,0.6563333333333333,0.008333333333333333,0.11328125,0.109375,0.203,0.00075,17877,91,6032,0.6890977233316552,0.4725274725274725,0.6561671087533156,0.22164948453608246,0.14285714285714285,0.3090909090909091,0.6009123800534844,0.7084962874794536,0.737,0.6705,0.6745,0.634,0.6855,0.6715,0.6895,0.703,0.6485,0.665,0.705,0.676,0.0,588.8942556381226,8.320872982343037
APK,gtformer_no_grl,48000,0.975204337673611,0.9765593761567504,0.7010833333333333,0.3617916666666667,0.28515625,0.27734375,0.691625,0.00925,0.09375,0.078125,0.2624166666666667,0.0005416666666666666,17877,91,6032,0.7062146892655368,0.5494505494505495,0.6881631299734748,0.26288659793814434,0.14285714285714285,0.38181818181818183,0.633317602642756,0.7255001983789605,0.742,0.6925,0.7015,0.6265,0.681,0.694,0.7415,0.735,0.6685,0.7055,0.7285,0.6965,0.0,567.5777087211609,8.025601506233215
APK,gtformer_plain,48000,0.9747157534722222,0.9772364237769489,0.7337916666666666,0.4472083333333333,0.30078125,0.28515625,0.718125,0.008625,0.09375,0.109375,0.503125,0.001875,17877,91,6032,0.743637075571964,0.6043956043956044,0.7022546419098143,0.27319587628865977,0.2857142857142857,0.4,0.6465313827277017,0.763758997902851,0.766,0.742,0.7245,0.653,0.726,0.725,0.7885,0.7595,0.698,0.735,0.748,0.727,0.0,561.110503911972,7.890467842419943
APK,gtformer_plain_s1,48000,0.9750713151041667,0.9771241037738425,0.7277083333333333,0.3556666666666667,0.3125,0.30078125,0.7148333333333333,0.009,0.01953125,0.0546875,0.40775,0.0012916666666666667,17877,91,6032,0.7356379705767186,0.5824175824175825,0.702420424403183,0.30412371134020616,0.0,0.38181818181818183,0.6517225106182162,0.7537266904721419,0.7585,0.734,0.727,0.6505,0.721,0.7155,0.798,0.7485,0.6795,0.7245,0.754,0.7095,0.0,1027.4262244701385,9.937400619188944
APK,gtformer_plain_s2,48000,0.9753911675347222,0.9778437543485945,0.742125,0.484,0.296875,0.2578125,0.7107083333333334,0.007416666666666667,0.1171875,0.08984375,0.395875,0.0005833333333333334,17877,91,6032,0.7516361805672093,0.5714285714285714,0.7165119363395226,0.27319587628865977,0.2857142857142857,0.38181818181818183,0.6526663520528552,0.7743581023635436,0.7765,0.755,0.7375,0.681,0.7445,0.735,0.807,0.7695,0.6865,0.7335,0.763,0.7165,0.0,982.664413690567,20.418763160705566
APK,gtformer_plain_s3,48000,0.9751829149305558,0.9778172089008554,0.7466666666666667,0.4997083333333333,0.3203125,0.30078125,0.7137083333333333,0.008208333333333333,0.1328125,0.0546875,0.3552916666666667,0.000375,17877,91,6032,0.7533143144822957,0.4945054945054945,0.7307692307692307,0.29896907216494845,0.2857142857142857,0.4,0.6702847254994494,0.7741880632545486,0.781,0.7355,0.744,0.6695,0.738,0.731,0.815,0.772,0.7085,0.7495,0.7755,0.7405,0.0,572.9746675491333,8.101562658945719
APK,gtformer_plain_s4,48000,0.9754504262152778,0.9777728201146325,0.7407916666666666,0.4182916666666667,0.31640625,0.296875,0.718375,0.008625,0.10546875,0.1015625,0.372,0.0006666666666666666,17877,91,6032,0.7473849079823237,0.5274725274725275,0.7201591511936339,0.29896907216494845,0.2857142857142857,0.38181818181818183,0.6717004876514079,0.7642124355268378,0.771,0.7545,0.733,0.6835,0.734,0.724,0.794,0.754,0.7005,0.7315,0.7655,0.731,0.0,557.6866936683655,7.653057575225829
APK,gtformer_tuned,48000,0.9774016493055556,0.9794853199783395,0.7499166666666667,0.4711666666666667,0.3203125,0.296875,0.7290833333333333,0.0085,0.16015625,0.16015625,0.4736666666666667,0.0010416666666666667,17877,91,6032,0.7598030989539631,0.5384615384615384,0.7204907161803713,0.29381443298969073,0.2857142857142857,0.41818181818181815,0.6724870221802737,0.7766819701864762,0.777,0.7605,0.7425,0.6665,0.745,0.7435,0.813,0.767,0.712,0.7525,0.7705,0.739,0.0,1322.849681854248,20.62373359998067
APK,gtformer_tuned_s1,48000,0.9766202439236112,0.9786295330324335,0.7512916666666667,0.39058333333333334,0.32421875,0.2734375,0.721375,0.008,0.0859375,0.0859375,0.3795,0.000875,17877,91,6032,0.7610337304916932,0.5494505494505495,0.7254641909814323,0.31958762886597936,0.2857142857142857,0.34545454545454546,0.6688689633474909,0.7809896276143513,0.7955,0.746,0.747,0.68,0.749,0.745,0.815,0.774,0.707,0.745,0.7725,0.7395,0.0,1295.2842152118683,18.259361386299133
APK,gtformer_tuned_s2,48000,0.9759137022569445,0.9778664919850889,0.7349583333333334,0.387375,0.33984375,0.3203125,0.7169166666666666,0.009125,0.06640625,0.1171875,0.4825833333333333,0.0019166666666666666,17877,91,6032,0.7417911282653689,0.5494505494505495,0.7140251989389921,0.31443298969072164,0.42857142857142855,0.41818181818181815,0.667925121912852,0.7579209884940203,0.7835,0.745,0.7245,0.634,0.7275,0.729,0.8015,0.749,0.686,0.733,0.767,0.729,0.0,1290.113174200058,19.02774969736735
APK,gtformer_tuned_s3,48000,0.9764876015625001,0.9786459001971568,0.744,0.41029166666666667,0.30859375,0.30859375,0.7446666666666667,0.010083333333333333,0.078125,0.0859375,0.41891666666666666,0.0010833333333333333,17877,91,6032,0.7519718073502265,0.5934065934065934,0.7180039787798409,0.29381443298969073,0.0,0.4,0.6707566462167689,0.7688034914697047,0.773,0.738,0.747,0.682,0.7265,0.7295,0.81,0.764,0.7035,0.751,0.7625,0.727,0.0,1320.0923268795013,21.017526586850487
APK,gtformer_tuned_s4,48000,0.9755931241319442,0.9780249055734971,0.7414583333333333,0.38625,0.3125,0.3203125,0.7445833333333334,0.010166666666666666,0.109375,0.109375,0.39175,0.0010416666666666667,17877,91,6032,0.7445880181238462,0.5824175824175825,0.7269562334217506,0.28865979381443296,0.42857142857142855,0.38181818181818183,0.6753185464841907,0.7626820835458822,0.776,0.752,0.729,0.679,0.746,0.734,0.7785,0.771,0.695,0.738,0.75,0.726,0.0,1331.107019662857,19.722655415534973
APK,mlp_full,48000,0.9688547447916667,0.9688080966594474,0.6418333333333334,0.17270833333333332,0.23828125,0.21875,0.6088333333333333,0.008416666666666666,0.08984375,0.078125,0.14741666666666667,0.0008333333333333334,17877,91,6032,0.6400402752139621,0.46153846153846156,0.649867374005305,0.20618556701030927,0.0,0.38181818181818183,0.6037439043574013,0.6555574448789888,0.7095,0.6215,0.6445,0.5765,0.6185,0.626,0.6595,0.6765,0.609,0.6445,0.6665,0.6495,0.0,161.88439178466797,2.6583621899286904
APK,mlp_mlp_plain,48000,0.9771411840277776,0.9790168760387481,0.7407083333333333,0.48941666666666667,0.33203125,0.32421875,0.7294583333333333,0.008958333333333334,0.109375,0.10546875,0.42983333333333335,0.0006666666666666666,17877,91,6032,0.7478324103596801,0.6373626373626373,0.7211538461538461,0.29896907216494845,0.2857142857142857,0.45454545454545453,0.6676105081013056,0.7670464206767557,0.766,0.742,0.737,0.665,0.7365,0.7285,0.807,0.7595,0.6945,0.7445,0.7695,0.7385,0.0,460.8935902118683,9.076793988545736
APK,mlp_mlp_plain_s1,48000,0.9765775711805555,0.9788380508891109,0.7344583333333333,0.5352916666666667,0.30859375,0.30078125,0.7249166666666667,0.009041666666666667,0.140625,0.1171875,0.49925,0.0008333333333333334,17877,91,6032,0.7406723723219779,0.5714285714285714,0.718501326259947,0.27319587628865977,0.2857142857142857,0.43636363636363634,0.6613182318703791,0.7608116533469365,0.771,0.746,0.734,0.652,0.73,0.73,0.7835,0.7575,0.6895,0.734,0.7555,0.7305,0.0,511.20509815216064,22.80860145886739
APK,mlp_mlp_plain_s2,48000,0.9769902604166667,0.9792141541101377,0.7355833333333334,0.5283333333333333,0.3125,0.30078125,0.723125,0.008916666666666666,0.13671875,0.109375,0.4890833333333333,0.0006666666666666666,17877,91,6032,0.7427420708172512,0.6263736263736264,0.7160145888594165,0.28350515463917525,0.2857142857142857,0.41818181818181815,0.6584867075664622,0.7633622399818625,0.7745,0.749,0.735,0.6765,0.7395,0.7275,0.796,0.7515,0.686,0.723,0.744,0.7245,0.0,528.6524934768677,21.114066243171692
APK,mlp_mlp_plain_s3,48000,0.9764617612847223,0.9787192210104427,0.7287083333333333,0.509,0.30859375,0.31640625,0.7374166666666667,0.010625,0.140625,0.12890625,0.481375,0.0008333333333333334,17877,91,6032,0.7373161044918051,0.6043956043956044,0.7050729442970822,0.26804123711340205,0.2857142857142857,0.45454545454545453,0.6572282523202768,0.7544635266111206,0.7635,0.733,0.727,0.656,0.7225,0.713,0.788,0.7505,0.6825,0.733,0.751,0.7245,0.0,126.1702344417572,2.784619728724162
APK,mlp_mlp_plain_s4,48000,0.9766593550347221,0.9792160365221547,0.75625,0.5325416666666667,0.328125,0.30859375,0.73575,0.008583333333333333,0.14453125,0.1171875,0.48075,0.0006666666666666666,17877,91,6032,0.7650053140907311,0.5934065934065934,0.7327586206896551,0.29381443298969073,0.2857142857142857,0.45454545454545453,0.6852288815479,0.7818398231593267,0.789,0.7645,0.752,0.7015,0.7495,0.7425,0.8105,0.7795,0.7095,0.757,0.774,0.7455,0.0,136.3716275691986,3.7241727113723755
APK,moe_full,48000,0.9736138411458333,0.9738308832995447,0.6740833333333334,0.17154166666666668,0.26953125,0.26953125,0.663625,0.009,0.05859375,0.06640625,0.22108333333333333,0.0012083333333333334,17877,91,6032,0.6783576662751021,0.5714285714285714,0.6629641909814323,0.2422680412371134,0.2857142857142857,0.36363636363636365,0.6186880604058518,0.6940429632148728,0.7435,0.684,0.6735,0.584,0.6725,0.662,0.726,0.694,0.632,0.6735,0.6865,0.6575,0.0,645.0721576213837,8.368139465649922
APK,moe_plain,48000,0.9771377170138887,0.9790608151235436,0.7445,0.48183333333333334,0.34765625,0.34765625,0.74825,0.010541666666666666,0.171875,0.1484375,0.4472083333333333,0.0008333333333333334,17877,91,6032,0.7483358505342059,0.6263736263736264,0.7306034482758621,0.3247422680412371,0.2857142857142857,0.43636363636363634,0.6834985055843952,0.7650059513688148,0.787,0.7475,0.75,0.654,0.7305,0.731,0.805,0.755,0.704,0.7425,0.779,0.7355,0.0,529.3012647628784,12.78458038965861
APK,moe_plain_s1,48000,0.9768740755208332,0.9790064226343465,0.7395833333333334,0.45816666666666667,0.296875,0.2734375,0.7105,0.007458333333333333,0.10546875,0.08984375,0.39970833333333333,0.0005416666666666666,17877,91,6032,0.7457067740672372,0.5164835164835165,0.7248010610079576,0.26288659793814434,0.2857142857142857,0.41818181818181815,0.6853861884536732,0.7591112622569858,0.789,0.747,0.7365,0.6385,0.7195,0.7345,0.7995,0.76,0.696,0.7505,0.771,0.733,0.0,539.6790323257446,19.128575921058655
