file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
APK,ens_gt_mlp_moe_lgbm,48000,0.9818540512152777,0.9830064214349938,0.7705416666666667,0.50875,0.32421875,0.31640625,0.7597083333333333,0.008916666666666666,0.1328125,0.13671875,0.5114583333333333,0.0010416666666666667,17877,91,6032,0.7759691223359624,0.6923076923076923,0.7551392572944297,0.29381443298969073,0.2857142857142857,0.43636363636363634,0.7070945414503697,0.7932324434619963,0.7975,0.775,0.758,0.752,0.778,0.76,0.8045,0.7835,0.7245,0.763,0.788,0.761,0.0,0.0,0.0
APK,ens_mlp_lgbm,48000,0.9846113350694445,0.9858888205822333,0.8099166666666666,0.5695833333333333,0.3515625,0.3515625,0.79775,0.008875,0.14453125,0.125,0.5237083333333333,0.0004166666666666667,17877,91,6032,0.8159646473121889,0.7252747252747253,0.7927718832891246,0.31958762886597936,0.2857142857142857,0.4727272727272727,0.7377693880761366,0.8357422207107634,0.821,0.822,0.793,0.806,0.81,0.7955,0.8555,0.8195,0.7585,0.798,0.8355,0.803,0.0,0.0,0.0
Dot_Net,ens_gt_mlp_moe_lgbm,59953,0.9971690153462648,0.9971535435879331,0.9385333333333333,0.7279,0.773220747889023,0.8069963811821471,0.9546333333333333,0.013621340099489199,0.6115802171290712,0.6429433051869723,0.7831333333333333,0.001769438787433646,24967,218,4815,0.9521368206031963,0.8577981651376146,0.8712357217030114,0.42771084337349397,0.2,0.8698315467075038,0.8463883366467859,0.9694054776219105,0.9396,0.9364,0.9408,0.9412,0.9424,0.9424,0.9424,0.9372,0.94,0.9344,0.9336,0.9312,0.0,0.0,0.0
Dot_Net,ens_mlp_lgbm,59953,0.9976600935910704,0.9977241352391955,0.9455666666666667,0.8154666666666667,0.7828709288299156,0.8118214716525934,0.9610333333333333,0.013754882649484192,0.6212303980699638,0.6308805790108565,0.8337333333333333,0.0011684973124561813,24967,218,4815,0.9588657027276004,0.8577981651376146,0.8803738317757009,0.41566265060240964,0.2,0.885145482388974,0.8597746852220013,0.9743486973947896,0.946,0.9488,0.9468,0.9484,0.9524,0.9504,0.9508,0.9432,0.9468,0.9432,0.9364,0.9332,0.0,0.0,0.0
ELF,ens_gt_mlp_moe_lgbm,5989,0.988306512769042,0.9897745544258477,0.8136666666666666,0.6876666666666666,0.266839378238342,0.47150259067357514,0.914,0.02040816326530612,0.11398963730569948,0.2772020725388601,0.827,0.010705921712947474,2835,28,137,0.8458553791887126,0.35714285714285715,0.24087591240875914,0.37404580152671757,0.1,0.2163265306122449,0.5605875152998776,0.9083829592304169,0.752,0.928,0.824,0.86,0.892,0.788,0.796,0.692,0.736,0.832,0.82,0.844,0.0,0.0,0.0
ELF,ens_mlp_lgbm,5989,0.988041987286718,0.989901823003804,0.8736666666666667,0.7066666666666667,0.19430051813471502,0.4740932642487047,0.9393333333333334,0.026430244228839078,0.031088082901554404,0.25129533678756477,0.897,0.011040481766477083,2835,28,137,0.9111111111111111,0.25,0.22627737226277372,0.3053435114503817,0.1,0.13877551020408163,0.6328029375764994,0.9638112688960147,0.864,0.968,0.92,0.892,0.944,0.86,0.82,0.772,0.784,0.848,0.892,0.92,0.0,0.0,0.0
PDF,ens_gt_mlp_moe_lgbm,12000,0.9889932916666667,0.9914629485622832,0.9285,0.6953333333333334,0.5677018633540373,0.6248447204968944,0.9498333333333333,0.0215,0.28322981366459626,0.47080745341614905,0.874,0.0045,1307,44,4649,0.8898240244835501,0.7954545454545454,0.9393417939341794,0.5343511450381679,0.5,0.5744047619047619,0.8481912144702842,0.9550763701707098,0.99,0.964,0.89,0.918,0.906,0.942,0.936,0.9,0.9,0.904,0.932,0.948,0.0,0.0,0.0
PDF,ens_mlp_lgbm,12000,0.989328777777778,0.9917451446649127,0.9258333333333333,0.757,0.5677018633540373,0.6484472049689441,0.9545,0.028,0.32546583850931676,0.422360248447205,0.8173333333333334,0.0023333333333333335,1307,44,4649,0.8837031369548585,0.7954545454545454,0.9386964938696494,0.549618320610687,0.5,0.5714285714285714,0.8436692506459949,0.954177897574124,0.986,0.966,0.88,0.918,0.902,0.944,0.928,0.904,0.906,0.906,0.922,0.946,0.0,0.0,0.0
Win64,ens_gt_mlp_moe_lgbm,119993,0.9984145578095222,0.9985105521138742,0.97765,0.8690166666666667,0.5282555282555282,0.4864864864864865,0.9738166666666667,0.00818428816695281,0.11425061425061425,0.0945945945945946,0.8361833333333333,0.000733418898871535,46046,1225,12729,0.9818659601268297,0.9591836734693877,0.9640191688270877,0.5861027190332326,0.23076923076923078,0.4957446808510638,0.9543871179756819,0.9855085408060734,0.9784,0.9734,0.9736,0.9744,0.9814,0.9812,0.9768,0.9706,0.9844,0.9836,0.9808,0.9728,0.0,0.0,0.0
Win64,ens_mlp_lgbm,119993,0.9986906037648837,0.9988308190221505,0.9816166666666667,0.9153,0.5724815724815725,0.5552825552825553,0.9790833333333333,0.008267631223642758,0.12162162162162163,0.16584766584766586,0.9272166666666667,0.0013001516843631758,46046,1225,12729,0.9849063979498762,0.9616326530612245,0.9715610024353838,0.6374622356495468,0.15384615384615385,0.5382978723404256,0.9627998685507723,0.9879870492352351,0.9816,0.9776,0.9802,0.9784,0.9842,0.9846,0.9808,0.9778,0.987,0.9868,0.9828,0.9774,0.0,0.0,0.0
