file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
APK,gtformer_full,48000,0.9678320616319445,0.9685496789998531,0.6187083333333333,0.255375,0.2109375,0.21875,0.6299166666666667,0.010333333333333333,0.1171875,0.12890625,0.27025,0.0010833333333333333,17877,91,6032,0.6151479554735134,0.45054945054945056,0.6150530503978779,0.18041237113402062,0.2857142857142857,0.3090909090909091,0.5516753185464842,0.637136541404523,0.6735,0.5705,0.607,0.583,0.6,0.612,0.6415,0.648,0.5715,0.598,0.652,0.617,0.0,1014.6814393997192,17.017588019371033
APK,gtformer_full_knn,48000,0.9681843324652779,0.9689978062392731,0.6337916666666666,0.2926666666666667,0.21875,0.23046875,0.6431666666666667,0.010458333333333333,0.12890625,0.12109375,0.25795833333333335,0.0007916666666666666,17877,91,6032,0.6362924428036024,0.46153846153846156,0.6274867374005305,0.19072164948453607,0.2857142857142857,0.3090909090909091,0.5670913953122542,0.6573145156719379,0.6895,0.591,0.625,0.5975,0.6245,0.627,0.659,0.672,0.589,0.6195,0.6735,0.6335,0.0,10.139894008636475,0.0
APK,gtformer_plain,48000,0.9747157534722222,0.9772364237769489,0.7337916666666666,0.4472083333333333,0.30078125,0.28515625,0.718125,0.008625,0.09375,0.109375,0.503125,0.001875,17877,91,6032,0.743637075571964,0.6043956043956044,0.7022546419098143,0.27319587628865977,0.2857142857142857,0.4,0.6465313827277017,0.763758997902851,0.766,0.742,0.7245,0.653,0.726,0.725,0.7885,0.7595,0.698,0.735,0.748,0.727,0.0,561.110503911972,7.890467842419943
Dot_Net,gtformer_full,59953,0.9958146907933543,0.9955466148141305,0.9111666666666667,0.6188333333333333,0.7237635705669482,0.7394451145958987,0.9248,0.012519614062030514,0.5452352231604343,0.6284680337756333,0.7549333333333333,0.0020365238874236304,24967,218,4815,0.9293467376937558,0.8440366972477065,0.8199376947040499,0.25301204819277107,0.2,0.8514548238897397,0.7920477137176939,0.9511912714317524,0.8988,0.8768,0.916,0.9204,0.9232,0.922,0.924,0.908,0.9152,0.9124,0.912,0.9052,0.0,1014.6814393997192,16.03650376271512
Dot_Net,gtformer_plain,59953,0.9963122942610089,0.9961779620305139,0.9306666666666666,0.6998333333333333,0.7828709288299156,0.7961399276236429,0.9395666666666667,0.011785130037058058,0.617611580217129,0.638118214716526,0.7592,0.0016025105999399058,24967,218,4815,0.9482917451035366,0.8348623853211009,0.8388369678089305,0.42771084337349397,0.0,0.885145482388974,0.8188204108681246,0.967223335560009,0.9328,0.932,0.936,0.9304,0.9288,0.9352,0.94,0.9252,0.93,0.9272,0.9272,0.914,0.0,561.110503911972,7.907536947134468
ELF,gtformer_full,5989,0.9808521244563397,0.9778119642245688,0.5923333333333334,0.04533333333333334,0.2616580310880829,0.41968911917098445,0.895,0.024088323854131816,0.03626943005181347,0.11398963730569948,0.31633333333333336,0.0016728002676480427,2835,28,137,0.6130511463844798,0.2857142857142857,0.22627737226277372,0.29770992366412213,0.0,0.2530612244897959,0.35006119951040393,0.6830050389372423,0.588,0.64,0.624,0.624,0.712,0.552,0.588,0.496,0.456,0.64,0.628,0.56,0.0,1014.6814393997192,21.400426182131433
ELF,gtformer_full_knn,5989,0.9824812088769934,0.9785754313678243,0.7526666666666667,0.035333333333333335,0.22279792746113988,0.44041450777202074,0.9116666666666666,0.026430244228839078,0.03367875647668394,0.17616580310880828,0.7216666666666667,0.008698561391769822,2835,28,137,0.7837742504409171,0.2857142857142857,0.145985401459854,0.31297709923664124,0.0,0.1836734693877551,0.4700122399020808,0.8547869903802107,0.748,0.876,0.784,0.808,0.848,0.7,0.708,0.596,0.64,0.724,0.776,0.792,0.0,2.6260578632354736,0.0
ELF,gtformer_plain,5989,0.984103156016505,0.9825740255979102,0.7733333333333333,0.06433333333333334,0.14248704663212436,0.4481865284974093,0.9273333333333333,0.026430244228839078,0.0,0.015544041450777202,0.22933333333333333,0.0016728002676480427,2835,28,137,0.8070546737213404,0.2857142857142857,0.17518248175182483,0.19083969465648856,0.2,0.11428571428571428,0.5361077111383109,0.8621163536417774,0.692,0.832,0.828,0.82,0.876,0.74,0.756,0.66,0.692,0.764,0.78,0.84,0.0,561.110503911972,7.121426411474422
PDF,gtformer_full,12000,0.9852163194444444,0.9883826405609486,0.8901666666666667,0.5586666666666666,0.49813664596273294,0.5788819875776398,0.9195,0.020666666666666667,0.15279503105590062,0.3490683229813665,0.738,0.0033333333333333335,1307,44,4649,0.8454475899005356,0.75,0.901914390191439,0.48854961832061067,0.5,0.5,0.7906976744186046,0.9225067385444744,0.978,0.946,0.86,0.882,0.85,0.898,0.89,0.868,0.852,0.86,0.864,0.914,0.0,1014.6814393997192,18.32393805185954
PDF,gtformer_plain,12000,0.9820710972222222,0.9867077052779236,0.8906666666666667,0.6463333333333333,0.5242236024844721,0.5788819875776398,0.9211666666666667,0.017666666666666667,0.19006211180124225,0.45590062111801244,0.8438333333333333,0.007166666666666667,1307,44,4649,0.8056618209640398,0.8181818181818182,0.9141750914175092,0.48854961832061067,0.5,0.53125,0.8255813953488372,0.9121743036837376,0.988,0.964,0.878,0.902,0.87,0.938,0.924,0.852,0.8,0.824,0.842,0.896,0.0,561.110503911972,7.555623849232991
Win32,gtformer_full,359994,0.9960625771476331,0.99592189911949,0.9381777777777778,0.64755,0.462015503875969,0.4551937984496124,0.9309833333333334,0.008522506305765747,0.32155038759689925,0.30883720930232555,0.46326666666666666,0.0005222396302098959,158944,967,20089,0.9488750754982888,0.8510858324715616,0.8577330877594703,0.559153713298791,0.0,0.21666666666666667,0.8506504807901493,0.9681946371816106,0.9460666666666666,0.9508,0.9483333333333334,0.9507333333333333,0.9520666666666666,0.9351333333333334,0.9424666666666667,0.9346666666666666,0.9169333333333334,0.9314666666666667,0.9287333333333333,0.9207333333333333,0.0,1014.6814393997192,16.59537463471444
Win32,gtformer_plain,359994,0.9975348368248077,0.9977596304615857,0.9598444444444444,0.8774944444444445,0.5010852713178294,0.4843410852713178,0.9549166666666666,0.008211384823938576,0.33178294573643413,0.3221705426356589,0.8550888888888889,0.0005111281487160683,158944,967,20089,0.9684039661767666,0.8934850051706308,0.8951167305490567,0.6040587219343696,0.1111111111111111,0.24,0.8856111038593744,0.9852723935717803,0.9639333333333333,0.9655333333333334,0.9681333333333333,0.9679333333333333,0.9692666666666667,0.9617333333333333,0.9664666666666667,0.9570666666666666,0.9432666666666667,0.9535333333333333,0.9531333333333334,0.9478666666666666,0.0,561.110503911972,7.856031062533497
Win64,gtformer_full,119993,0.9970550761477729,0.9967318220899433,0.96135,0.6206666666666667,0.48034398034398035,0.4680589680589681,0.9563333333333334,0.009217742069908157,0.10565110565110565,0.10565110565110565,0.5997666666666667,0.000966779457603387,46046,1225,12729,0.9670981192720323,0.9346938775510204,0.9422578364364836,0.5317220543806647,0.23076923076923078,0.451063829787234,0.9257311863292803,0.9732053142793345,0.9576,0.9498,0.9536,0.9528,0.963,0.9704,0.9654,0.956,0.974,0.9732,0.9686,0.9496,0.0,1014.6814393997192,19.648517932497477
Win64,gtformer_full_knn,119993,0.9970497374693714,0.9969123509809241,0.9619833333333333,0.6245333333333334,0.47788697788697787,0.4668304668304668,0.9570166666666666,0.009201073458570167,0.10810810810810811,0.10073710073710074,0.6048666666666667,0.0009167736235894188,46046,1225,12729,0.9678365113147722,0.9346938775510204,0.9421007149029774,0.5287009063444109,0.23076923076923078,0.44893617021276594,0.9261912586263555,0.9737635368985151,0.959,0.9514,0.9548,0.9532,0.9634,0.9696,0.9648,0.9564,0.9738,0.974,0.9694,0.9506,0.0,34.7263069152832,0.0
Win64,gtformer_plain,119993,0.9979435275782175,0.9981673940061608,0.9732666666666666,0.8718833333333333,0.5257985257985258,0.5036855036855037,0.9710166666666666,0.009234410681246145,0.12776412776412777,0.13636363636363635,0.8799833333333333,0.0010501225142933342,46046,1225,12729,0.9784997611084567,0.953469387755102,0.9552989237174955,0.5981873111782477,0.15384615384615385,0.4851063829787234,0.9441998028261583,0.9828737300435414,0.9712,0.9674,0.9686,0.9694,0.979,0.9748,0.9742,0.9658,0.9824,0.9812,0.9754,0.9674,0.0,561.110503911972,7.992749746949756
