file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
APK,gtformer_plain,48000,0.9747157534722222,0.9772364237769489,0.7337916666666666,0.4472083333333333,0.30078125,0.28515625,0.718125,0.008625,0.09375,0.109375,0.503125,0.001875,17877,91,6032,0.743637075571964,0.6043956043956044,0.7022546419098143,0.27319587628865977,0.2857142857142857,0.4,0.6465313827277017,0.763758997902851,0.766,0.742,0.7245,0.653,0.726,0.725,0.7885,0.7595,0.698,0.735,0.748,0.727,0.0,561.110503911972,7.890467842419943
APK,mlp_mlp_plain,48000,0.9771411840277776,0.9790168760387481,0.7407083333333333,0.48941666666666667,0.33203125,0.32421875,0.7294583333333333,0.008958333333333334,0.109375,0.10546875,0.42983333333333335,0.0006666666666666666,17877,91,6032,0.7478324103596801,0.6373626373626373,0.7211538461538461,0.29896907216494845,0.2857142857142857,0.45454545454545453,0.6676105081013056,0.7670464206767557,0.766,0.742,0.737,0.665,0.7365,0.7285,0.807,0.7595,0.6945,0.7445,0.7695,0.7385,0.0,460.8935902118683,9.076793988545736
APK,moe_plain,48000,0.9771377170138887,0.9790608151235436,0.7445,0.48183333333333334,0.34765625,0.34765625,0.74825,0.010541666666666666,0.171875,0.1484375,0.4472083333333333,0.0008333333333333334,17877,91,6032,0.7483358505342059,0.6263736263736264,0.7306034482758621,0.3247422680412371,0.2857142857142857,0.43636363636363634,0.6834985055843952,0.7650059513688148,0.787,0.7475,0.75,0.654,0.7305,0.731,0.805,0.755,0.704,0.7425,0.779,0.7355,0.0,529.3012647628784,12.78458038965861
APK,proto_plain,48000,0.9769583975694445,0.9790451461571552,0.7412916666666667,0.5035416666666667,0.30859375,0.30078125,0.7319583333333334,0.009416666666666667,0.1484375,0.11328125,0.42866666666666664,0.0005,17877,91,6032,0.7476645969681714,0.6153846153846154,0.7241379310344828,0.27319587628865977,0.2857142857142857,0.43636363636363634,0.6748466257668712,0.7651759904778099,0.773,0.753,0.7415,0.696,0.737,0.736,0.78,0.762,0.6945,0.7335,0.759,0.7295,0.0,650.8101258277893,19.659221172332764
Dot_Net,gtformer_plain,59953,0.9963122942610089,0.9961779620305139,0.9306666666666666,0.6998333333333333,0.7828709288299156,0.7961399276236429,0.9395666666666667,0.011785130037058058,0.617611580217129,0.638118214716526,0.7592,0.0016025105999399058,24967,218,4815,0.9482917451035366,0.8348623853211009,0.8388369678089305,0.42771084337349397,0.0,0.885145482388974,0.8188204108681246,0.967223335560009,0.9328,0.932,0.936,0.9304,0.9288,0.9352,0.94,0.9252,0.93,0.9272,0.9272,0.914,0.0,561.110503911972,7.907536947134468
Dot_Net,mlp_mlp_plain,59953,0.9961937140408862,0.9962240437185279,0.9143666666666667,0.7124,0.7696019300361882,0.7973462002412546,0.9337,0.012987012987012988,0.5838359469240049,0.5983112183353438,0.7382333333333333,0.0014021967749474175,24967,218,4815,0.9360355669483719,0.8348623853211009,0.805607476635514,0.39759036144578314,0.2,0.8728943338437979,0.7866136514247847,0.9572923625027834,0.9116,0.908,0.9232,0.9252,0.914,0.9224,0.9264,0.9168,0.9188,0.9072,0.9064,0.8924,0.0,460.8935902118683,8.279117271623514
Dot_Net,moe_plain,59953,0.996072072357805,0.9960335484258012,0.9178333333333333,0.6718333333333333,0.7720144752714113,0.7840772014475271,0.9323333333333333,0.012686542249524254,0.5560916767189384,0.5910735826296744,0.7204,0.0012352685874536774,24967,218,4815,0.9385989506148116,0.8348623853211009,0.8139148494288682,0.39156626506024095,0.1,0.8790199081163859,0.794963552021206,0.9591182364729459,0.9188,0.914,0.9248,0.9224,0.916,0.93,0.9252,0.9216,0.9212,0.9072,0.9084,0.9044,0.0,529.3012647628784,11.549801981013871
Dot_Net,proto_plain,59953,0.9964255555926507,0.9964376462079575,0.9285333333333333,0.7349666666666667,0.7768395657418576,0.7961399276236429,0.9405,0.01241945714953427,0.548854041013269,0.5645355850422196,0.7486666666666667,0.0011351116749574333,24967,218,4815,0.9460087315256138,0.8486238532110092,0.8388369678089305,0.41566265060240964,0.0,0.8805513016845329,0.8153744201457919,0.9659763972389223,0.9356,0.9304,0.9332,0.9328,0.9336,0.9332,0.9388,0.9244,0.9256,0.9224,0.9148,0.9124,0.0,650.8101258277893,15.722602337885624
ELF,gtformer_plain,5989,0.984103156016505,0.9825740255979102,0.7733333333333333,0.06433333333333334,0.14248704663212436,0.4481865284974093,0.9273333333333333,0.026430244228839078,0.0,0.015544041450777202,0.22933333333333333,0.0016728002676480427,2835,28,137,0.8070546737213404,0.2857142857142857,0.17518248175182483,0.19083969465648856,0.2,0.11428571428571428,0.5361077111383109,0.8621163536417774,0.692,0.832,0.828,0.82,0.876,0.74,0.756,0.66,0.692,0.764,0.78,0.84,0.0,561.110503911972,7.121426411474422
ELF,mlp_mlp_plain,5989,0.9881404037024645,0.9892726329635639,0.8703333333333333,0.5113333333333333,0.24870466321243523,0.5751295336787565,0.93,0.03278688524590164,0.0051813471502590676,0.27202072538860106,0.8846666666666667,0.013047842087654735,2835,28,137,0.8952380952380953,0.35714285714285715,0.27007299270072993,0.35877862595419846,0.2,0.19183673469387755,0.6266829865361077,0.9496106275767293,0.808,0.952,0.9,0.908,0.932,0.84,0.828,0.752,0.784,0.848,0.884,0.904,0.0,460.8935902118683,5.529965476970637
