format,group,feature,index,mean_abs_shap,mean_shap
Win32,benign,header[43],739,1.1840247742392034,-0.8789128189923803
Win32,benign,pefilewarnings[67],2547,0.9404711165584607,-0.8988395225105675
Win32,benign,header[24],720,0.8052137074887689,-0.6030467060633119
Win32,benign,authenticode[6],2478,0.6267050757920734,-0.3588717652094431
Win32,benign,authenticode[5],2477,0.49462519969991325,-0.4691691222470659
Win32,benign,datadirectories[12],2417,0.37319629803350785,-0.28880086413188566
Win32,benign,datadirectories[8],2413,0.3398328574797656,-0.18303314479092364
Win32,benign,section[3],773,0.31418381920681193,-0.27504153966429834
Win32,benign,header[26],722,0.27627843050178685,-0.186746016196747
Win32,benign,pefilewarnings[0],2480,0.27550398284657157,0.2589907204430405
Win32,benign,datadirectories[3],2408,0.22439085469793615,-0.17984621492936095
Win32,benign,datadirectories[0],2405,0.22238866619292325,-0.09887032015002918
Win32,benign,header[0],696,0.21754702744802648,0.05929668683808411
Win32,benign,header[28],724,0.18509876452668136,-0.0635981713171338
Win32,benign,section[152],922,0.16431403216057158,-0.14331085523354684
Win32,malware,pefilewarnings[67],2547,1.2554649810248895,0.5614421462111691
Win32,malware,header[43],739,0.8050939785752357,0.6385314610009181
Win32,malware,section[3],773,0.3831897323269415,0.1883090958580642
Win32,malware,authenticode[6],2478,0.35810049056222554,0.29319686450382443
Win32,malware,header[28],724,0.33401444742734826,0.2371319831154102
Win32,malware,section[152],922,0.324871267059381,0.14745042122059349
Win32,malware,datadirectories[4],2409,0.2804651633941787,0.10752404249279804
Win32,malware,datadirectories[8],2413,0.2595774538318463,0.17216598115525603
Win32,malware,header[0],696,0.24811986834712732,0.10444688587366598
Win32,malware,datadirectories[12],2417,0.23075213194934505,0.13142736461478985
Win32,malware,section[223],993,0.20814050669069237,0.11842138032642503
Win32,malware,section[154],924,0.2033926096564711,0.08277391401637292
Win32,malware,header[24],720,0.20201040842784052,0.19435053151048348
Win32,malware,section[221],991,0.18691289861894025,0.16498910193402794
Win32,malware,authenticode[5],2477,0.17874976530617304,0.06570533892127375
Win32,challenge,pefilewarnings[67],2547,0.7497052901339483,-0.7204214488138592
Win32,challenge,header[43],739,0.6573667242366056,0.4778614169658531
Win32,challenge,header[28],724,0.40183946810557003,0.11284394840885453
Win32,challenge,authenticode[6],2478,0.35542723490855743,-0.09811688501580754
