model,region,metric,n,lgbm,model_value,diff,ci_lo,ci_hi
gtformer_full,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.1907870001353526,-0.3305159941647993,-0.33405208067014575,-0.32675544794188865
gtformer_full,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.11969480209823558,-0.1900333810205055,-0.20386862184072485,-0.17691940867906536
gtformer_full,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.07283570088448137,-0.23284642187081211,-0.23927901366925758,-0.22560473063521844
gtformer_full,FAR,tpr@1%FPR,213274,0.40527209130039293,0.16652756547914888,-0.23874452582124406,-0.24079857366580082,-0.2369249181803689
gtformer_full,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.11927208945406709,-0.17570708178031136,-0.18162793247094933,-0.16991887743915807
gtformer_full,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.04173249878463782,-0.30422034516285856,-0.3067422216820612,-0.3016527026616432
gtformer_plain,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.2480110688343134,-0.2732919254658385,-0.27703780849111936,-0.2696825229723429
gtformer_plain,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.0898903195040534,-0.21983786361468766,-0.23319027181688123,-0.2064794945159752
gtformer_plain,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.08342267488608952,-0.22225944786920399,-0.22876072098633074,-0.21582685607075852
gtformer_plain,FAR,tpr@1%FPR,213274,0.40527209130039293,0.23043127619869277,-0.17484081510170016,-0.17652421298423626,-0.1728702279696541
gtformer_plain,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.18868669151501863,-0.10629247971935982,-0.11221442666082002,-0.10076627932470948
gtformer_plain,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.09945460622265435,-0.24649823772484203,-0.24888528500243073,-0.24376367282450168
gtformer_plain_s1,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.2969335117982344,-0.22436948250191752,-0.22778412765253486,-0.22093979817424395
gtformer_plain_s1,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.13471626132570338,-0.17501192179303768,-0.18837029089175014,-0.16094420600858372
gtformer_plain_s1,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.12597158938622352,-0.17971053336906997,-0.18641282497989817,-0.17394800321629592
gtformer_plain_s1,FAR,tpr@1%FPR,213274,0.40527209130039293,0.2795089884374092,-0.12576310286298376,-0.12771434867822615,-0.12380740268387144
gtformer_plain_s1,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.21249725937294453,-0.08248191186143392,-0.08853431265073448,-0.07695680771760582
gtformer_plain_s1,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.16004041079241613,-0.18591243315508024,-0.1883359412980068,-0.18346499756927565
gtformer_plain_s2,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.29452724346923737,-0.22677575083091456,-0.23007008256508202,-0.22318138751447525
gtformer_plain_s2,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.11325703385789222,-0.19647114926084885,-0.21030042918454933,-0.18215903671912254
gtformer_plain_s2,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.10486464754757438,-0.20081747520771911,-0.20772078531224875,-0.19404817743232378
gtformer_plain_s2,FAR,tpr@1%FPR,213274,0.40527209130039293,0.292426643660268,-0.11284544764012494,-0.11473995892607629,-0.11094179318622993
gtformer_plain_s2,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.24003508002631002,-0.054944091208068424,-0.06073339180004385,-0.04928634071475556
gtformer_plain_s2,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.16895053475935828,-0.17700230918813809,-0.17956273547642201,-0.17452467944822558
gtformer_plain_s3,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.24746965846028907,-0.27383333583986286,-0.27745852946926747,-0.2706149519498293
gtformer_plain_s3,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.11015736766809728,-0.19957081545064378,-0.21245231282784927,-0.18572961373390556
gtformer_plain_s3,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.11270436880192977,-0.19297775395336372,-0.19948237737871888,-0.1864764808362369
gtformer_plain_s3,FAR,tpr@1%FPR,213274,0.40527209130039293,0.306900981835573,-0.09837110946481992,-0.10009272110055613,-0.09638270487729401
gtformer_plain_s3,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.24078053058539794,-0.0541986406489805,-0.05933019074764308,-0.04897829423372066
gtformer_plain_s3,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.2014690690325717,-0.14448377491492467,-0.14696045515313563,-0.1420528606587263
gtformer_plain_s4,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.24092761644082836,-0.28037537785932354,-0.283909584467538,-0.27691561517753754
gtformer_plain_s4,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.12660944206008584,-0.18311874105865522,-0.19480805913209348,-0.17048164043872197
gtformer_plain_s4,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.09662288930581614,-0.20905923344947736,-0.2152908067542214,-0.20262329134280352
gtformer_plain_s4,FAR,tpr@1%FPR,213274,0.40527209130039293,0.27761940039573507,-0.12765269090465786,-0.1294955081256975,-0.12569722516574924
gtformer_plain_s4,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.16483227362420522,-0.13014689761017323,-0.1354976978732734,-0.12470839728129794
gtformer_plain_s4,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.18759874817695674,-0.15835409577053963,-0.16099010239426353,-0.15572587506076813
gtformer_tuned,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.29266238551426466,-0.22864060878588727,-0.23194922773825816,-0.22560043914397
gtformer_tuned,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.11373390557939914,-0.19599427753934193,-0.20935264663805436,-0.18359561278016212
gtformer_tuned,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.1043956043956044,-0.20128651835968908,-0.20799048512463142,-0.19485392656124362
gtformer_tuned,FAR,tpr@1%FPR,213274,0.40527209130039293,0.2448540375291878,-0.16041805377120513,-0.1623922747264083,-0.1584486388401774
gtformer_tuned,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.19850909888182416,-0.09647007235255428,-0.10230322297741724,-0.09054922166191627
gtformer_tuned,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.11782936315021876,-0.22812348079727762,-0.23061554296305298,-0.22563160853184253
gtformer_tuned_s1,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.36388792805257697,-0.15741506624757495,-0.16061953889883146,-0.15452754425277854
gtformer_tuned_s1,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.1781115879828326,-0.13161659513590845,-0.14520743919885548,-0.11921196948020982
gtformer_tuned_s1,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.12416242294291074,-0.18151969981238275,-0.1876859421066738,-0.17515243902439023
gtformer_tuned_s1,FAR,tpr@1%FPR,213274,0.40527209130039293,0.312011778275833,-0.09326031302455995,-0.09523898834363309,-0.09145793673865543
gtformer_tuned_s1,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.24253453190089894,-0.05244463933347951,-0.05862859022144269,-0.046515018636264005
gtformer_tuned_s1,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.19785336655323285,-0.14809947739426352,-0.15097893625425376,-0.1455540532328634
gtformer_tuned_s2,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.25128960943257184,-0.2700133848675801,-0.2732622230911525,-0.2665085046546253
gtformer_tuned_s2,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.12446351931330472,-0.18526466380543632,-0.1983845970433953,-0.1726216022889843
gtformer_tuned_s2,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.103725542749933,-0.2019565800053605,-0.2086588716161887,-0.19525428839453227
gtformer_tuned_s2,FAR,tpr@1%FPR,213274,0.40527209130039293,0.28326472050038914,-0.12200737080000379,-0.12388781567373423,-0.12012633982576403
gtformer_tuned_s2,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.19197544398158298,-0.10300372725279547,-0.1087919315939487,-0.0975663231747424
gtformer_tuned_s2,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.18602637335926106,-0.1599264705882353,-0.1622204666990763,-0.1575943045089937
gtformer_tuned_s3,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.24282255274991352,-0.27848044155023843,-0.28206277352503273,-0.2748706630773164
gtformer_tuned_s3,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.11802575107296137,-0.1917024320457797,-0.2057761087267525,-0.17715188364329998
gtformer_tuned_s3,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.11444652908067542,-0.19123559367461807,-0.19740183596890912,-0.18493533905119272
gtformer_tuned_s3,FAR,tpr@1%FPR,213274,0.40527209130039293,0.2384960192053415,-0.16677607209505144,-0.1686471393606347,-0.16491426521751365
gtformer_tuned_s3,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.18868669151501863,-0.10629247971935982,-0.11181758386318788,-0.1010688445516334
gtformer_tuned_s3,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.12011576324744774,-0.22583708070004863,-0.22826799495624697,-0.22356530292902282
gtformer_tuned_s4,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.32135713533755433,-0.1999458589625976,-0.20336012813378854,-0.19678687982193618
gtformer_tuned_s4,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.12970910824988077,-0.1800190748688603,-0.19241773962804004,-0.16738197424892706
gtformer_tuned_s4,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.14145001340123292,-0.16423210935406057,-0.17053068882337175,-0.15806419190565532
gtformer_tuned_s4,FAR,tpr@1%FPR,213274,0.40527209130039293,0.36436227575794516,-0.04090981554244777,-0.042683004022993916,-0.03909993717002541
gtformer_tuned_s4,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.2909449682087262,-0.004034203025652272,-0.009691953518965136,0.001490901118175847
gtformer_tuned_s4,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.27329697374817696,-0.0726558701993194,-0.07506380651434125,-0.07029237056392802
lgbm_plain_s1,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.5213029943001519,0.0,0.0,0.0
lgbm_plain_s1,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.30972818311874106,0.0,0.0,0.0
lgbm_plain_s1,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.3056821227552935,0.0,0.0,0.0
lgbm_plain_s1,FAR,tpr@1%FPR,213274,0.40527209130039293,0.40527209130039293,0.0,0.0,0.0
lgbm_plain_s1,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.29497917123437845,0.0,0.0,0.0
lgbm_plain_s1,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.34595284394749637,0.0,0.0,0.0
lgbm_plain_s2,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.5213029943001519,0.0,0.0,0.0
lgbm_plain_s2,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.30972818311874106,0.0,0.0,0.0
lgbm_plain_s2,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.3056821227552935,0.0,0.0,0.0
lgbm_plain_s2,FAR,tpr@1%FPR,213274,0.40527209130039293,0.40527209130039293,0.0,0.0,0.0
lgbm_plain_s2,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.29497917123437845,0.0,0.0,0.0
lgbm_plain_s2,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.34595284394749637,0.0,0.0,0.0
mlp_full,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.36289534236686566,-0.15840765193328626,-0.16159670942806012,-0.15533965981381503
mlp_full,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.17453505007153075,-0.1351931330472103,-0.14855150214592275,-0.12231163567000478
mlp_full,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.17783436076119002,-0.12784776199410347,-0.13434903511123025,-0.12154918252479227
mlp_full,FAR,tpr@1%FPR,213274,0.40527209130039293,0.41099243227022514,0.005720340969832205,0.0037365079662781383,0.007647556664197191
mlp_full,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.25573339180004384,-0.039245779434334604,-0.044814733611050206,-0.033453190089892566
mlp_full,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.37782571706368495,0.03187287311618858,0.028993604156538646,0.03460041170393779
mlp_plain,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.39855323116719055,-0.12274976313296138,-0.1256974418359827,-0.11962123832583883
mlp_plain,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.19790176442536958,-0.11182641869337148,-0.12399260848831661,-0.10013710061993328
mlp_plain,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.1953229697132136,-0.11035915304207988,-0.11632437684266955,-0.10385620477083891
mlp_plain,FAR,tpr@1%FPR,213274,0.40527209130039293,0.4913866669167362,0.08611457561634328,0.0842246359143637,0.08815068878531844
mlp_plain,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.27559745669809255,-0.0193817145362859,-0.025038368778776576,-0.013591317693488288
mlp_plain,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.4890085683033544,0.143055724355858,0.14025260543266896,0.1459055587627613
mlp_plain_s1,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.42962417096536476,-0.09167882333478716,-0.09455168213195378,-0.08864053359000199
mlp_plain_s1,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.25774916547448734,-0.05197901764425372,-0.06366237482117307,-0.03885312350977588
mlp_plain_s1,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.20859019029750736,-0.09709193245778613,-0.10352452425623157,-0.09065934065934067
mlp_plain_s1,FAR,tpr@1%FPR,213274,0.40527209130039293,0.4698181681780245,0.06454607687763159,0.062490974052158275,0.06653905304912931
mlp_plain_s1,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.31528173646130236,0.02030256522692392,0.014207410655558026,0.026485419864064885
mlp_plain_s1,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.44356921487603307,0.0976163709285367,0.09475932030870202,0.10041948985172584
mlp_plain_s2,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.39193599326244866,-0.12936700103770327,-0.13245003233423064,-0.12629900891823204
mlp_plain_s2,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.21721506914639963,-0.09251311397234144,-0.10467334287076777,-0.07987601335240824
mlp_plain_s2,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.20537389439828463,-0.10030822835700887,-0.10627177700348431,-0.09420899222728493
mlp_plain_s2,FAR,tpr@1%FPR,213274,0.40527209130039293,0.5250194585369056,0.11974736723651264,0.1176981254161313,0.1218342367095848
mlp_plain_s2,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.29668932251699187,0.0017101512826134257,-0.004210699408024557,0.00789629467222101
mlp_plain_s2,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.5362101968886728,0.1902573529411764,0.1873934659090909,0.19303065751093829
mlp_plain_s3,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.3365015866331794,-0.1848014076669725,-0.1877543500819635,-0.18164280450573742
mlp_plain_s3,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.1659513590844063,-0.14377682403433475,-0.15736766809728184,-0.1316106342393896
mlp_plain_s3,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.17321093540605736,-0.13247118734923613,-0.1386374296435272,-0.1259045832216564
mlp_plain_s3,FAR,tpr@1%FPR,213274,0.40527209130039293,0.5045575175595712,0.0992854262591783,0.09723606721869518,0.10123139716983781
mlp_plain_s3,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.30795878096908574,0.012979609734707298,0.007278009208506896,0.01894431045823287
