model,region,n,n_mal,roc_auc,f1@0.5,fnr@0.5,fpr@0.5,tpr@0.01,tpr@0.001,novel_tpr@0.01,singleton_tpr@0.01,known_tpr@0.01,lowcons_tpr@0.01,n_novel,n_single,fpr_at_iid_thr
gtformer_full,IID,15286,6981,0.9932896385743328,0.9647075465025815,0.023062598481592866,0.04069837447320891,0.8762354963472282,0.39106145251396646,0.07692307692307693,0.7025,0.8883982947624848,0.8292134831460675,13.0,400.0,
gtformer_full,NEAR,208337,66493,0.8201159205462443,0.6898787733034052,0.41759282932037955,0.04970249005950199,0.1907870001353526,0.0466214488743176,0.11969480209823558,0.07283570088448137,0.23423746701846965,0.03949963916285783,4194.0,14924.0,
gtformer_full,FAR,612430,213274,0.8481985164705858,0.38480466536260766,0.7532610632332117,0.019060217057992365,0.16652756547914888,0.07238575728874594,0.11927208945406709,0.04173249878463782,0.4641539586202207,0.04274464333164239,22805.0,131648.0,
gtformer_full,year2013,9489,4729,0.9934516331379243,0.9646248565167485,,,0.8722774370902939,,,,,,,,0.010294117647058823
gtformer_full,year2014,5797,2252,0.9929273963028006,0.9648814749780509,,,0.8845470692717584,,,,,,,,0.009026798307475317
gtformer_full,year2016,109193,45134,0.9377615662868367,0.8340241010038092,,,0.463708069304737,,,,,,,,0.020871384192697358
gtformer_full,year2017,99144,21359,0.5733044995283118,0.27185882516413656,,,0.05688468561262231,,,,,,,,0.025621906537250112
gtformer_full,year2018,104292,39350,0.556938208610502,0.2442392444910808,,,0.06007623888182973,,,,,,,,0.014643836038311108
gtformer_full,year2019,91050,41585,0.8999136806877961,0.5736301369863014,,,0.2555248286641818,,,,,,,,0.009986859395532195
gtformer_full,year2020,102073,46355,0.884241735648407,0.4127358099251713,,,0.1294574479559918,,,,,,,,0.006191894899314405
gtformer_full,year2021,81155,35627,0.8772169853478605,0.21039938971872924,,,0.03994161731271227,,,,,,,,0.002262344052011949
gtformer_full,year2022,86416,41648,0.9143168189027026,0.427997533586203,,,0.11873319247022666,,,,,,,,0.0010051822730521801
gtformer_full,year2023,54354,7892,0.8519702174526351,0.2525037289580226,,,0.07526609224531171,,,,,,,,0.0011407171451939218
gtformer_full,year2024,48427,794,0.7746881448370387,0.06376811594202898,,,0.007556675062972292,,,,,,,,0.00023093233682531017
gtformer_full,year2025,44663,23,0.647694113292816,0.0,,,0.0,,,,,,,,0.00029121863799283157
gtformer_plain,IID,15286,6981,0.9947341545698866,0.9681710893355268,0.030511388053287458,0.027934978928356412,0.9269445638160722,0.5860191949577425,0.07692307692307693,0.78,0.9375761266747868,0.8786516853932584,13.0,400.0,
gtformer_plain,NEAR,208337,66493,0.8381221387529353,0.6557929626786015,0.4733280194907734,0.03728744254251149,0.2480110688343134,0.11586182004120735,0.0898903195040534,0.08342267488608952,0.3138575197889182,0.06230454654799134,4194.0,14924.0,
gtformer_plain,FAR,612430,213274,0.8685740584717553,0.3536379018612521,0.7814689085401878,0.009282085199771518,0.23043127619869277,0.07518497332070483,0.18868669151501863,0.09945460622265435,0.5397562095170092,0.08813440587482185,22805.0,131648.0,
gtformer_plain,year2013,9489,4729,0.9947305735573991,0.9694479561736199,,,0.9340241065764432,,,,,,,,0.010084033613445379
gtformer_plain,year2014,5797,2252,0.9944554534818759,0.9654711517041658,,,0.9120781527531083,,,,,,,,0.009590973201692525
gtformer_plain,year2016,109193,45134,0.941458441345421,0.7980194553502213,,,0.5163734656799752,,,,,,,,0.022853931531869057
gtformer_plain,year2017,99144,21359,0.6300552175924159,0.23173277661795408,,,0.07107074301231331,,,,,,,,0.017844057337532943
gtformer_plain,year2018,104292,39350,0.6618961814700298,0.24813620148249418,,,0.11097839898348158,,,,,,,,0.01556773736564935
gtformer_plain,year2019,91050,41585,0.9307648676233073,0.5415724175748852,,,0.2877479860526632,,,,,,,,0.010391185686849288
gtformer_plain,year2020,102073,46355,0.9259108223879553,0.37446808510638296,,,0.1601337504044871,,,,,,,,0.006030367206288812
gtformer_plain,year2021,81155,35627,0.906555837719539,0.16628270106998413,,,0.05091643977881943,,,,,,,,0.002284308557371288
gtformer_plain,year2022,86416,41648,0.9310073313666539,0.38127181077937183,,,0.15285247791010373,,,,,,,,0.0012955682630450321
gtformer_plain,year2023,54354,7892,0.81598242501003,0.23442004879130626,,,0.09401926001013684,,,,,,,,0.0007317808101244027
gtformer_plain,year2024,48427,794,0.7323746988479982,0.08009153318077804,,,0.022670025188916875,,,,,,,,0.00033590158083681484
gtformer_plain,year2025,44663,23,0.6921580372448184,0.0,,,0.0,,,,,,,,0.000492831541218638
gtformer_plain_s1,IID,15286,6981,0.9950084089082942,0.9713552800342027,0.023635582294800117,0.028537025888019266,0.9250823664231486,0.6802750322303395,0.15384615384615385,0.785,0.9351400730816078,0.8732584269662922,13.0,400.0,
gtformer_plain_s1,NEAR,208337,66493,0.804046720438306,0.6643144303079033,0.47191433684748774,0.028961394207721158,0.2969335117982344,0.05353947032018408,0.13471626132570338,0.12597158938622352,0.3651503957783641,0.09030550878037046,4194.0,14924.0,
gtformer_plain_s1,FAR,612430,213274,0.8508139636007953,0.3784792341844477,0.7631731950448719,0.007821503372115164,0.2795089884374092,0.09317122574716093,0.21249725937294453,0.16004041079241613,0.5728736335662433,0.13067372031789742,22805.0,131648.0,
gtformer_plain_s1,year2013,9489,4729,0.9948404800702264,0.9709962168978562,,,0.9272573482765912,,,,,,,,0.009663865546218488
gtformer_plain_s1,year2014,5797,2252,0.9950306513313976,0.9721115537848606,,,0.9205150976909414,,,,,,,,0.009873060648801129
gtformer_plain_s1,year2016,109193,45134,0.934369363041492,0.8181694580063037,,,0.5357380245491205,,,,,,,,0.022026569256466694
gtformer_plain_s1,year2017,99144,21359,0.5274226687411256,0.16259572752922208,,,0.06264338218081371,,,,,,,,0.009204859548756187
gtformer_plain_s1,year2018,104292,39350,0.5199958532052663,0.19794963227100512,,,0.09026683608640407,,,,,,,,0.009008037941547843
gtformer_plain_s1,year2019,91050,41585,0.9290435761724638,0.5723394565052375,,,0.31371888902248407,,,,,,,,0.007500252703932073
gtformer_plain_s1,year2020,102073,46355,0.9175902229027184,0.41535941642322827,,,0.1798511487433934,,,,,,,,0.005689364298790337
gtformer_plain_s1,year2021,81155,35627,0.9124233263858248,0.2245817245817246,,,0.06228422264013248,,,,,,,,0.003075030750307503
gtformer_plain_s1,year2022,86416,41648,0.9289813178333916,0.41914853358561965,,,0.17153284671532848,,,,,,,,0.0011392065761258042
gtformer_plain_s1,year2023,54354,7892,0.8369853480533979,0.2516701347059468,,,0.09858084135833756,,,,,,,,0.0007533037751280617
gtformer_plain_s1,year2024,48427,794,0.7339941865547249,0.0860655737704918,,,0.02392947103274559,,,,,,,,0.0008817416496966388
gtformer_plain_s1,year2025,44663,23,0.6364690470624903,0.0,,,0.0,,,,,,,,0.0008064516129032258
gtformer_plain_s2,IID,15286,6981,0.9947953941553409,0.9652648198650782,0.03667096404526571,0.02745334136062613,0.9242228907033376,0.7003294656925941,0.15384615384615385,0.7525,0.9362058465286236,0.8588764044943821,13.0,400.0,
